,Quotes,Characters
966,Hes good all right But hes no Clem Johnson And Johnson played back in the days when steroid injections were mandatory,Farnsworth
967,Clem Johnson That skin bag wouldnt have lasted one pitch in the old Robot Leagues Now Wireless Joe Jackson there was a blern hitting machine,Bender
968,Exactly He was a machine designed to hit blerns I mean come on Wireless Joe was nothing but a programmable bat on wheels,Leela
969,Oh and I suppose pitching at 5000 was just a modified howitzer,Bender
971,You humans are so scared of a little robot competition you wont even let us on the field,Bender
972,What are you talking about Theres all kinds of robots down there,Fry
973,Yeah doing crap work Theyre bat boys ball polishers sprinkler systems But how many robot managers are there,Bender
975,Zero  And what a surprise Look whos scraping up the filth Is it a human child I wish,Bender
982,Admit it You all think robots are machines built by humans to make their lives easier,Bender
984,Ive never made anyones life easier and you know it,Bender
985,Great news everyone Youll be delivering a package to Chapek 9 A world where humans are killed on sight,Farnsworth
987,Im glad you asked that question Fry You see Chapek 9 was colonised centuries ago by a murderous crew of radical robot separatists,Farnsworth
988,Oh so just cause a robot wants to kill humans that makes him a radical,Bender
989,Hey hold on I understand these robots hate humans but how do they feel about humanoid aliens,Leela
992,Oh I get it make the robot do all the work,Bender
993,This is the first actual work youve ever had to do around here,Leela
994,Well Im not doing it Its a robot holiday,Bender
996,Only Robanukah The holiest two weeks on the robot calendar,Bender
997,Oh come on Bender Last month it was Robomadan and before that Robonzaa,Leela
998,Man that one was a blast,Fry
999,It wasnt just a blast it was a sacred tribute to my ancestral prototypes which happened to take the form of a drinking contest,Bender
1001,All right Ill go But so help me Ill hold a grudge against every last one of you for the rest of your lives,Bender
1002,Well then its settled So long everyone,Farnsworth
1003,So let me get this straight,Fry
1004,No Its inhabited by robots,Bender
1005,Oh Kinda like how a warehouse is inhabited by boxes,Fry
1006,OK Bender were here Its time to get to work,Leela
1007,Yes Miss Leela tote that space barge lift that space bale,Bender
1008,Now we cant land on the surface because those robots will kill Fry and me so well have to stay up here and lower you with the winch And remember,Leela
1009,Ill try to keep that in mind,Bender
1010,Hmm he seems pretty angry,Leela
1011,Yeah but I guess Id be angry too if I had to go to some uninhabited planet,Fry
1012,Maybe we ought to do something nice for him,Leela
1013,There That ought to show that stupid robot we care about him,Leela
1014,Ah Bender must be done with the delivery,Fry
1016,Oh my God We have to go down and rescue him,Fry
1017,No we cant Theyll kill us on sight,Leela
1018,Well what are we going to do,Fry
1019,I dont know I dont know Its not an easy decision If only I had two or three minutes to think about it,Leela
1020,OK If were going to save Bender weve got to look and act exactly like robots,Leela
1022,We have to walk like robots talk like robots and if necessary solve complex differential equations like robots,Leela
1023,I can sort of dance like a robot Will that help,Fry
1024,Fry first of all this is serious And second of all,Leela
1025,Man we look stupid We shouldve gotten store bought costumes,Fry
1026,Yeah but there wasnt a Woolworths in this quadrant,Leela
1030,Uh yup Just two robots out roboting it up  Eh,Fry
1034,Is the puppy mechanical in any way,Fry
1036,Then well go with that data file,Leela
1040,Now if you see any robots just stay out of their way  So far so good,Leela
1042,Have you seen this robot,Leela
1044,Come on Fry walk like a robot,Leela
1045,I cant I have to go to the bathroom,Fry
1046,Robots dont have bathrooms,Leela
1047,Oh right I wonder where they all smoke in high school,Fry
1048,Listen Just go behind those garbage cans Ill stand guard,Leela
1053,I think the leaks stopping itself  Wait Yeah,Fry
1055,Im sorry My friend and I have to go and perform some mindless repetitive tasks,Leela
1060,Quick Lets duck in here,Leela
1073,OK Keep an eyeout for Bender,Leela
1075,Umm too much romance not enough human killing,Fry
1079,Try to stay with the crowd so no one notices how crummy you look,Leela
1087,Ahh Its good to hear his voice,Fry
1088,Many said I was too extreme when I first called for the annihalation of the human species as well as some of the more cunning monkeys But after living on Earth I can tell you that I am if anything too merciful,Bender
1089,My God Hes become evil  I mean eviler,Fry
1090,Thank you thank you And if you enjoyed that diatribe then youll want to purchase my spoken word album just 1895 Act now and youll get this Bender action figurine,Bender
1091,Bite my shiny metal ass,Bender
1093,Now Your basic human is between three and twenty five feet tall and is made of a hairy oily goo wrapped in a tshirt,Bender
1097,Nothing Todays active humans prefer a low calorie bait,Bender
1101,Hmmm sounds like a breeding ground for humans Id better check it out,Bender
1102,Oh yeah Youre a bad girl arent you,Bender
1104,Huh Wha You What the hell are you doing here,Bender
1105,Weve been looking for you Last we heard you were under arrest as a human sympathiser,Fry
1106,I was But they let me go when I told them that Id killed a million billion humans,Bender
1107,Good for you Now lets all get back to the ship,Leela
1110,I dont wanna be rescued,Bender
1112,I love this planet Ive got wealth fame and access to sleaze that those things bring,Bender
1113,But Bender were your friends,Fry
1114,Friends That activates my hilairity unit Im just a machine to you Youre no more friends with me than you are with the toaster the phonograph or the electric chair,Bender
1116,Well thats how it feels to me,Bender
1117,Bye Bender Ill miss you,Fry
1118,Go on get out of here before you get caught,Bender
1122,Uhgot youyou muderousflesh piles,Bender
1125,Hey wait a minute Isnt anyone gonna defend us,Fry
1126,Yeah I mean he might not have a case but Im genuinely not human,Leela
1137,Look One eye Count them,Leela
1149,Alright lets make this quick Im due at the opening of a minimall Hey what is this,Bender
1151,But the judge already sentenced us at the trial,Fry
1156,Uh Im a little tired right now Would it be alright if I just gave them a savage beating,Bender
1160,Aww  I cant kill them Plenty of humans have mistreated robots but not these two theyre my friends Humans are no threat to us Theyre stupid putrid cowards,Bender
1162,The fact is humans are completely harmless,Bender
1170,Well Im glad we got all that out in the open Well just let ourselves out,Bender
1173,Stop Take one more step and Ill breathe fire on you,Fry
1179,So long suckers  Uh hello suckers,Fry
1180,Hey hold on a second I forgot to deliver the package,Bender
1183,Wow I cant believe you guys did all this for me This is the best Robanukah ever,Bender
1184,We wanted to show you that we really do respect your robot heritage,Fry
1185,Aww thanks You do know I made Robanukah up to get out of work right,Bender
1187,But that doesnt make it any less meaningful,Fry
1188,In that case  let the dancing begin  Hey you guys are good How the hell do you do that,Bender
1189,I cant take it anymore Theyve been at it for hours   Give it a rest you two,Fry
1192,Uh excuse me I missed a few lectures Uh what subject is this,Fry
1197,What a weird dream Ill never get back to sleep,Fry
1198,So youre telling me they broadcast commercials into peoples dreams,Fry
1200,But how is that possible,Fry
1201,Its very simple The ad gets into your brain just like this liquid gets into this egg  Although in reality its not liquid but gamma radiation,Farnsworth
1202,Thats awful Its like brainwashing,Fry
1203,Didnt you have ads in the 20th century,Leela
1204,Well sure but not in our dreams Only on TV and radio And in magazines and movies and at ball games on buses and milk cartons and Tshirts and bananas and written on the sky But not in dreams No siree,Fry
1205,Quit squawking flesh wad Nobodys forcing you to buy anything,Bender
1212,Cool  Can I try these on before I buy them,Fry
1216,New What sweater I came in with it I dont know you people,Bender
1218,30 I cant afford that Unless  Do you take Visa,Fry
1225,No I cant afford them Being poor sucks What kind of world is this where they advertise things not everybody can afford,Fry
1228,Hey whos the rocker jockey,Fry
1234,Hey Bender Sounds like you could use a little of that oil,Fry
1237,Uh theres obviously been some sort of a mistake here  That is Im sure theres  a very  reasonable,Bender
1239,78 79 7950 Crud Were 50 cents short,Fry
1240,Id love to chip in but Bender stole my wallet,Leela
1241,Hey thats my old bank Maybe my accounts still open,Fry
1243,Yeah well I did open the account over a thousand years ago What about my ATM card,Fry
1245,Sure Its the price of a cheese pizza and a large soda back where I used to work Panuccis Pizza,Fry
1251,I know Frys rich but do we really have to wear these top hats,Leela
1252,Maybe you dont understand just how rich he is In fact I think Id better put on a monocle,Bender
1253,Pizza dinner on me  Just keep the tab under 50 million,Fry
